split,game,side,team,fb,fbtime,fd,fdtime,ft,fttime,cspm,goldat10,goldat15,result
summer,1,Blue,MVP,1,7.582233333,1,11.1699,0,15.14515,32.69565217,15.532,23.35,0
summer,1,Red,Jin Air Green Wings,0,7.582233333,0,11.1699,1,15.14515,30.95652174,14.772,22.363,1
summer,2,Blue,Jin Air Green Wings,1,4.88285,0,13.74805,0,12.42783333,30,15.131,24.167,0
summer,2,Red,MVP,0,4.88285,1,13.74805,1,12.42783333,30.87739033,15.018,24.374,1
summer,3,Blue,MVP,0,5.32245,1,6.088833333,0,19.14938333,29.58033065,14.149,21.871,1
summer,3,Red,Jin Air Green Wings,1,5.32245,0,6.088833333,1,19.14938333,30.11445528,15.315,23.204,0
summer,1,Blue,Longzhu Gaming,1,8.80965,1,15.87505,0,16.21895,33.65093114,15.402,23.386,1
summer,1,Red,KT Rolster,0,8.80965,0,15.87505,1,16.21895,32.50757904,14.354,22.899,0
summer,2,Blue,KT Rolster,0,8.617716667,0,14.22075,0,12.96203333,30.58945191,13.942,21.76,0
summer,2,Red,Longzhu Gaming,1,8.617716667,1,14.22075,1,12.96203333,33.04033092,14.612,23.477,1
summer,1,Blue,Ever8 Winners,0,6.74875,1,11.28515,1,13.07983333,33.1548312,15.118,24.191,1
summer,1,Red,Afreeca Freecs,1,6.74875,0,11.28515,0,13.07983333,34.90104773,15.477,24.645,0
summer,2,Blue,Afreeca Freecs,1,11.98056667,1,12.96455,1,17.00251667,32.73641851,14.359,22.646,1
summer,2,Red,Ever8 Winners,0,11.98056667,0,12.96455,0,17.00251667,30.6639839,13.838,21.715,0
summer,3,Blue,Ever8 Winners,1,10.8178,0,18.50085,0,16.09246667,32.65027322,14.602,22.727,0
summer,3,Red,Afreeca Freecs,0,10.8178,1,18.50085,1,16.09246667,33.27868852,14.866,22.895,1
summer,2,Blue,SK Telecom T1,0,2.4508,0,14.18665,1,7.530916667,29.83221477,14.747,22.215,0
summer,2,Red,Samsung Galaxy,1,2.4508,1,14.18665,0,7.530916667,32.44966443,16.817,25.054,1
summer,1,Blue,Samsung Galaxy,1,13.90035,1,16.37216667,1,14.31415,35.03311258,15.071,24.613,1
summer,1,Red,SK Telecom T1,0,13.90035,0,16.37216667,0,14.31415,34.07284768,14.127,21.461,0
